"partida_id","clube","chutes","chutes_no_alvo","posse_de_bola","passes","precisao_passes","faltas","cartao_amarelo","cartao_vermelho","impedimentos","escanteios","data","ano"
6127,"Flamengo",10,5,"34%",286,"72%",10,2,1,2,5,2018-04-14,"2018"
6137,"Flamengo",14,5,"49%",345,"82%",15,1,0,1,6,2018-04-21,"2018"
6148,"Flamengo",18,7,"52%",431,"86%",12,2,0,3,5,2018-04-29,"2018"
6159,"Flamengo",17,7,"58%",470,"86%",12,5,0,1,6,2018-05-06,"2018"
6172,"Flamengo",14,4,"58%",437,"82%",17,3,0,3,7,2018-05-13,"2018"
6177,"Flamengo",11,3,"61%",462,"82%",16,2,2,3,6,2018-05-19,"2018"
6188,"Flamengo",7,4,"32%",306,"78%",13,4,0,4,1,2018-05-26,"2018"
6203,"Flamengo",16,6,"57%",588,"85%",10,0,0,0,4,2018-05-31,"2018"
6210,"Flamengo",19,4,"53%",462,"87%",14,3,0,1,8,2018-06-03,"2018"
6224,"Flamengo",9,8,"47%",383,"82%",7,2,0,1,7,2018-06-07,"2018"
6234,"Flamengo",11,5,"63%",601,"91%",11,2,0,1,9,2018-06-10,"2018"
6241,"Flamengo",13,8,"55%",408,"84%",18,6,3,0,6,2018-06-13,"2018"
6250,"Flamengo",26,7,"71%",552,"86%",11,3,0,0,9,2018-07-18,"2018"
6256,"Flamengo",9,4,"57%",497,"81%",17,0,0,0,1,2018-07-21,"2018"
6269,"Flamengo",13,3,"56%",503,"86%",14,1,0,1,8,2018-07-25,"2018"
6279,"Flamengo",22,9,"58%",547,"91%",12,1,0,1,8,2018-07-29,"2018"
6287,"Flamengo",9,1,"66%",607,"86%",17,4,0,2,1,2018-08-04,"2018"
6311,"Flamengo",9,4,"52%",420,"83%",28,3,0,3,5,2018-08-12,"2018"
6318,"Flamengo",15,6,"68%",553,"89%",10,1,0,1,5,2018-08-19,"2018"
6303,"Flamengo",15,5,"65%",555,"88%",18,2,0,1,7,2018-08-23,"2018"
6332,"Flamengo",11,6,"49%",443,"82%",9,2,1,0,6,2018-08-26,"2018"
6340,"Flamengo",26,9,"65%",515,"89%",16,2,0,2,12,2018-09-02,"2018"
6352,"Flamengo",11,4,"62%",602,"84%",13,1,0,2,3,2018-09-05,"2018"
6358,"Flamengo",15,6,"62%",492,"86%",17,2,0,1,8,2018-09-08,"2018"
6368,"Flamengo",22,5,"62%",488,"86%",13,2,1,1,13,2018-09-15,"2018"
6379,"Flamengo",7,2,"51%",438,"80%",26,2,0,2,4,2018-09-23,"2018"
6388,"Flamengo",11,5,"68%",562,"84%",17,1,0,2,3,2018-09-29,"2018"
6397,"Flamengo",13,7,"46%",432,"82%",18,1,0,0,10,2018-10-05,"2018"
6406,"Flamengo",16,6,"52%",404,"81%",16,2,0,0,6,2018-10-13,"2018"
6424,"Flamengo",11,6,"69%",699,"88%",13,0,0,2,1,2018-10-21,"2018"
6432,"Flamengo",22,4,"71%",496,"82%",19,2,0,0,15,2018-10-27,"2018"
6441,"Flamengo",20,8,"63%",470,"80%",13,1,0,0,7,2018-11-04,"2018"
6448,"Flamengo",13,4,"66%",501,"81%",16,6,0,2,3,2018-11-10,"2018"
6463,"Flamengo",20,4,"56%",440,"84%",22,3,0,0,8,2018-11-15,"2018"
6471,"Flamengo",13,5,"41%",321,"71%",13,0,1,0,8,2018-11-18,"2018"
6480,"Flamengo",18,7,"43%",387,"82%",17,2,0,0,9,2018-11-21,"2018"
6488,"Flamengo",9,5,"44%",429,"79%",9,3,0,0,6,2018-11-25,"2018"
6496,"Flamengo",16,5,"55%",445,"83%",17,3,1,1,6,2018-12-01,"2018"
6509,"Flamengo",17,5,"58%",526,"85%",13,4,0,0,6,2019-04-27,"2019"
6516,"Flamengo",11,5,"55%",513,"81%",9,2,0,3,5,2019-05-01,"2019"
6530,"Flamengo",9,1,"35%",259,"71%",15,7,0,2,2,2019-05-05,"2019"
6539,"Flamengo",19,7,"57%",464,"85%",18,2,0,1,7,2019-05-12,"2019"
